,Phone_name,Phone_price,Rating,No_of_reviews
0,"realme C55 (Sunshower, 64 GB)realme C55 (Sunshower, 64 GB)realme C55 (Sunshower, 64 GB)realme C55 (Sunshower, 64 GB)","₹10,999",4.4,"(36,144)"
1,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹24,999",4.4,"(23,933)"
2,"realme GT 2 (Paper White, 128 GB)","₹39,999",4.3,"(9,159)"
3,"realme 10 (Clash White, 64 GB)","₹12,499",4.3,"(10,572)"
4,"realme C55 (Sunshower, 128 GB)","₹13,999",4.4,"(12,025)"
5,"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹19,999",4.3,"(17,098)"
6,"POCO C51 (Royal Blue, 64 GB)","₹6,999",4.3,"(13,790)"
7,"POCO M4 5G (Yellow, 64 GB)","₹11,999",4.2,"(76,172)"
8,"POCO M4 Pro (Cool Blue, 128 GB)","₹13,999",4.2,"(20,799)"
9,"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹21,999",4.3,"(7,629)"
10,"POCO F5 5G (Snowstorm White, 256 GB)","₹29,999",4.2,"(2,441)"
11,"POCO C55 (Cool Blue, 64 GB)","₹7,749",4.2,"(21,277)"
12,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹7,299",4.2,"(23,758)"
13,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹14,490",4.2,"(14,056)"
14,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹14,490",4.2,"(14,056)"
15,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,699",4.3,"(1,50,057)"
16,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,499",4.3,"(1,91,969)"
17,"SAMSUNG Galaxy A23 5G (Light Blue, 128 GB)","₹21,999",4.1,(517)
18,"vivo T2x 5G (Marine Blue, 128 GB)","₹13,999",4.5,"(35,417)"
19,"vivo T2 5G (Nitro Blaze, 128 GB)","₹18,999",4.5,"(21,241)"
20,"vivo T2x 5G (Aurora Gold, 128 GB)","₹13,999",4.5,"(35,417)"
21,"vivo V27 5G (Magic Blue, 128 GB)","₹32,999",4.4,"(13,270)"
22,"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",4.5,"(21,050)"
23,"vivo V27 5G (Noble Black, 128 GB)","₹32,999",4.4,"(13,270)"
24,"APPLE iPhone 14 (Blue, 128 GB)","₹67,999",4.6,"(35,618)"
25,"APPLE iPhone 14 (Midnight, 128 GB)","₹67,999",4.6,"(35,618)"
26,"APPLE iPhone 13 (Starlight, 128 GB)","₹58,999",4.7,"(2,22,689)"
27,"APPLE iPhone 14 Pro (Deep Purple, 128 GB)","₹1,19,999",4.7,"(1,282)"
28,"APPLE iPhone 12 (White, 64 GB)","₹53,999",4.6,"(1,89,327)"
29,"APPLE iPhone 13 (Blue, 128 GB)","₹58,999",4.7,"(2,22,689)"
30,"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999",4.1,"(17,705)"
31,"MOTOROLA g13 (Matte Charcoal, 128 GB)","₹9,999",3.9,"(19,420)"
32,"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹16,999",3.9,"(12,263)"
33,"MOTOROLA g73 5G (Lucent White, 128 GB)","₹16,999",3.9,"(12,263)"
34,"MOTOROLA G32 (Satin Silver, 128 GB)","₹11,999",4.1,"(17,705)"
35,"MOTOROLA Edge 30 (Meteor Grey, 128 GB)","₹24,999",4.1,"(6,089)"
36,"Infinix SMART 7 (Night Black, 64 GB)","₹7,299",4.3,"(31,997)"
37,"Infinix SMART 7 (Azure Blue, 64 GB)","₹7,299",4.3,"(31,997)"
38,"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,299",4.3,"(31,997)"
39,"Infinix HOT 30i (Diamond White, 128 GB)","₹9,299",4.3,"(21,161)"
40,"Infinix HOT 30i (Mirror Black, 64 GB)","₹7,999",4.2,"(4,885)"
41,"Infinix HOT 30i (Diamond White, 64 GB)","₹7,999",4.2,"(4,885)"
42,"REDMI 10 (Caribbean Green, 128 GB)","₹10,999",4.2,"(36,435)"
43,"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)","₹29,999",4.3,"(10,880)"
44,"REDMI K50i 5G (Stealth Black, 128 GB)","₹20,999",4.2,"(2,207)"
45,"REDMI K50i 5G (Quick Silver, 128 GB)","₹20,999",4.2,"(2,207)"
46,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999",4.3,"(22,606)"
47,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)","₹29,999",4.3,"(10,880)"
